,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
408,409,3,0,21.0,0,0,7.775,0,0,1
480,481,3,0,9.0,5,2,46.9,0,0,1
510,511,3,0,29.0,0,0,7.75,0,1,0
609,610,1,1,40.0,0,0,153.4625,0,0,1
547,548,2,0,,0,0,13.8625,1,0,0
709,710,3,0,,1,1,15.2458,1,0,0
152,153,3,0,55.5,0,0,8.05,0,0,1
493,494,1,0,71.0,0,0,49.5042,1,0,0
392,393,3,0,28.0,2,0,7.925,0,0,1
823,824,3,1,27.0,0,1,12.475,0,0,1
576,577,2,1,34.0,0,0,13.0,0,0,1
772,773,2,1,57.0,0,0,10.5,0,0,1
744,745,3,0,31.0,0,0,7.925,0,0,1
327,328,2,1,36.0,0,0,13.0,0,0,1
459,460,3,0,,0,0,7.75,0,1,0
221,222,2,0,27.0,0,0,13.0,0,0,1
850,851,3,0,4.0,4,2,31.275,0,0,1
557,558,1,0,,0,0,227.525,1,0,0
46,47,3,0,,1,0,15.5,0,1,0
448,449,3,1,5.0,2,1,19.2583,1,0,0
370,371,1,0,25.0,1,0,55.4417,1,0,0
195,196,1,1,58.0,0,0,146.5208,1,0,0
760,761,3,0,,0,0,14.5,0,0,1
54,55,1,0,65.0,0,1,61.9792,1,0,0
572,573,1,0,36.0,0,0,26.3875,0,0,1
378,379,3,0,20.0,0,0,4.0125,1,0,0
197,198,3,0,42.0,0,1,8.4042,0,0,1
395,396,3,0,22.0,0,0,7.7958,0,0,1
110,111,1,0,47.0,0,0,52.0,0,0,1
137,138,1,0,37.0,1,0,53.1,0,0,1
311,312,1,1,18.0,2,2,262.375,1,0,0
390,391,1,0,36.0,1,2,120.0,0,0,1
23,24,1,0,28.0,0,0,35.5,0,0,1
817,818,2,0,31.0,1,1,37.0042,1,0,0
109,110,3,1,,1,0,24.15,0,1,0
301,302,3,0,,2,0,23.25,0,1,0
103,104,3,0,33.0,0,0,8.6542,0,0,1
874,875,2,1,28.0,1,0,24.0,1,0,0
61,62,1,1,38.0,0,0,80.0,0,0,0
153,154,3,0,40.5,0,2,14.5,0,0,1
288,289,2,0,42.0,0,0,13.0,0,0,1
244,245,3,0,30.0,0,0,7.225,1,0,0
680,681,3,1,,0,0,8.1375,0,1,0
796,797,1,1,49.0,0,0,25.9292,0,0,1
225,226,3,0,22.0,0,0,9.35,0,0,1
856,857,1,1,45.0,1,1,164.8667,0,0,1
620,621,3,0,27.0,1,0,14.4542,1,0,0
450,451,2,0,36.0,1,2,27.75,0,0,1
423,424,3,1,28.0,1,1,14.4,0,0,1
449,450,1,0,52.0,0,0,30.5,0,0,1
160,161,3,0,44.0,0,1,16.1,0,0,1
742,743,1,1,21.0,2,2,262.375,1,0,0
650,651,3,0,,0,0,7.8958,0,0,1
249,250,2,0,54.0,1,0,26.0,0,0,1
539,540,1,1,22.0,0,2,49.5,1,0,0
413,414,2,0,,0,0,0.0,0,0,1
206,207,3,0,32.0,1,0,15.85,0,0,1
827,828,2,0,1.0,0,2,37.0042,1,0,0
483,484,3,1,63.0,0,0,9.5875,0,0,1
606,607,3,0,30.0,0,0,7.8958,0,0,1
184,185,3,1,4.0,0,2,22.025,0,0,1
682,683,3,0,20.0,0,0,9.225,0,0,1
793,794,1,0,,0,0,30.6958,1,0,0
12,13,3,0,20.0,0,0,8.05,0,0,1
117,118,2,0,29.0,1,0,21.0,0,0,1
482,483,3,0,50.0,0,0,8.05,0,0,1
420,421,3,0,,0,0,7.8958,1,0,0
542,543,3,1,11.0,4,2,31.275,0,0,1
883,884,2,0,28.0,0,0,10.5,0,0,1
876,877,3,0,20.0,0,0,9.8458,0,0,1
108,109,3,0,38.0,0,0,7.8958,0,0,1
602,603,1,0,,0,0,42.4,0,0,1
574,575,3,0,16.0,0,0,8.05,0,0,1
252,253,1,0,62.0,0,0,26.55,0,0,1
711,712,1,0,,0,0,26.55,0,0,1
396,397,3,1,31.0,0,0,7.8542,0,0,1
193,194,2,0,3.0,1,1,26.0,0,0,1
566,567,3,0,19.0,0,0,7.8958,0,0,1
203,204,3,0,45.5,0,0,7.225,1,0,0
490,491,3,0,,1,0,19.9667,0,0,1
814,815,3,0,30.5,0,0,8.05,0,0,1
218,219,1,1,32.0,0,0,76.2917,1,0,0
445,446,1,0,4.0,0,2,81.8583,0,0,1
489,490,3,0,9.0,1,1,15.9,0,0,1
111,112,3,1,14.5,1,0,14.4542,1,0,0
730,731,1,1,29.0,0,0,211.3375,0,0,1
105,106,3,0,28.0,0,0,7.8958,0,0,1
479,480,3,1,2.0,0,1,12.2875,0,0,1
277,278,2,0,,0,0,0.0,0,0,1
69,70,3,0,26.0,2,0,8.6625,0,0,1
85,86,3,1,33.0,3,0,15.85,0,0,1
794,795,3,0,25.0,0,0,7.8958,0,0,1
161,162,2,1,40.0,0,0,15.75,0,0,1
815,816,1,0,,0,0,0.0,0,0,1
516,517,2,1,34.0,0,0,10.5,0,0,1
299,300,1,1,50.0,0,1,247.5208,1,0,0
454,455,3,0,,0,0,8.05,0,0,1
59,60,3,0,11.0,5,2,46.9,0,0,1
879,880,1,1,56.0,0,1,83.1583,1,0,0
42,43,3,0,,0,0,7.8958,1,0,0
499,500,3,0,24.0,0,0,7.7958,0,0,1
235,236,3,1,,0,0,7.55,0,0,1
254,255,3,1,41.0,0,2,20.2125,0,0,1
345,346,2,1,24.0,0,0,13.0,0,0,1
104,105,3,0,37.0,2,0,7.925,0,0,1
315,316,3,1,26.0,0,0,7.8542,0,0,1
872,873,1,0,33.0,0,0,5.0,0,0,1
3,4,1,1,35.0,1,0,53.1,0,0,1
804,805,3,0,27.0,0,0,6.975,0,0,1
224,225,1,0,38.0,1,0,90.0,0,0,1
771,772,3,0,48.0,0,0,7.8542,0,0,1
538,539,3,0,,0,0,14.5,0,0,1
248,249,1,0,37.0,1,1,52.5542,0,0,1
31,32,1,1,,1,0,146.5208,1,0,0
267,268,3,0,25.0,1,0,7.775,0,0,1
